Time,No. Steps,Total Reward,Episode Length,
0.1806974411,176811,1410.2,185,
0.204210043,178611,1410.2,185,
0.013604641,180748,1572.7,272,
0.0074248314,183088,1567.4,304,
0.0178194046,185451,1566.6,324,
0.0173556805,187582,1578.8,221,
0.1266884804,191924,1332.5,1003,
0.0430138111,194090,1407.8,195,
0.1383562088,199014,1370.5,1003,
0.1819114685,201367,1409.2,185,
0.0718224049,203192,1407.2,185,
0.1046984196,204970,1407.2,185,
0.1469604969,206775,1409.2,185,
0.1439967155,208573,1410.2,185,
0.2488503456,210364,1410.2,185,
0.0162329674,212305,1567.4,205,
0.0204825401,214331,1580.1,250,
0.1140449047,219070,1683,1003,
0.1927535534,220870,1407.2,185,
0.2639913559,222820,1583.7,209,
0.3416860104,224813,1581.7,209,
0.325304985,226800,1581.7,209,
0.1017365456,228566,1407.2,185,
0.0074653625,230514,1567.4,205,
0.2449018955,232477,1581.7,209,
0.1670093536,234500,1573.3,207,
0.2256276608,236502,1581.7,209,
0.0203857422,238604,1580.1,250,
0.0908353329,240470,1414.7,196,
0.1213157177,244908,1232.5,1003,
0.1489231586,249733,1232.5,1003,
0.1896157265,254244,1232.5,1003,
0.2468416691,259050,1232.5,1003,-83
Time,No. Steps,Total Reward,Episode Length
0.10799860954284668,5135,1181.500000000031,1003
Time,No. Steps,Total Reward,Episode Length
0.11794590950012207,4230,1181.500000000031,1003
0.1949601173400879,9257,1232.500000000031,1003
0.13760042190551758,14458,1232.500000000031,1003
0.07983756065368652,20022,1185.500000000031,1003
0.1039431095123291,25486,1185.500000000031,1003
0.11989736557006836,31028,1185.500000000031,1003
0.16947722434997559,36136,1326.500000000031,1003
0.1962566375732422,39436,1553.3000000000084,382
0.14148902893066406,45077,1646.000000000031,1003
0.173994779586792,47850,1550.3000000000065,331
0.17968487739562988,51216,1616.9000000000074,353
0.3686497211456299,53979,1556.100000000003,238
0.15760016441345215,58768,1231.500000000031,1003
0.1141960620880127,63650,1225.500000000031,1003
0.12037444114685059,68246,1231.500000000031,1003
0.14142107963562012,72682,1366.500000000031,1003
0.022539854049682617,75010,1396.1000000000013,188
0.14089536666870117,80107,1364.500000000031,1003
0.18526959419250488,85308,1231.500000000031,1003
0.1291208267211914,88786,1570.4000000000074,354
0.0673074722290039,93335,1231.500000000031,1003
0.14327096939086914,98862,1675.000000000031,1003
0.27789902687072754,101572,1556.100000000003,237
0.14260530471801758,103690,1398.300000000001,183
0.528594970703125,106187,1563.200000000002,208
0.46700286865234375,109380,1563.1000000000022,211
0.13678669929504395,111706,1555.200000000002,210
0.008472442626953125,113943,1396.9000000000015,193
